Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
Braille37,Label Resampled,Multilabel,24,,0.0,
Braille37,Label Resampled,Multilabel,25,0.9699646643109541,0.9572798605056669,0.9635805177709521
Braille37,Label Resampled,Multilabel,26,0.9050104384133612,0.9506578947368421,0.9272727272727272
Braille37,Label Resampled,Multilabel,27,0.846,0.9690721649484536,0.9033635878270154
Braille37,Label Resampled,Multilabel,28,,0.0,
Braille37,Label Resampled,Multilabel,29,0.9665354330708661,0.9859437751004017,0.9761431411530815
Braille37,Label Resampled,Multilabel,30,0.9338654503990877,0.9855595667870036,0.959016393442623
Braille37,Label Resampled,Multilabel,31,0.9564777327935222,0.984375,0.9702258726899383
Braille37,Label Resampled,Multilabel,32,0.9868852459016394,0.9093655589123867,0.9465408805031447
Braille37,Label Resampled,Multilabel,33,,0.0,
Braille37,Label Resampled,Multilabel,34,,0.0,
Braille37,Label Resampled,Multilabel,35,,0.0,
Braille37,Label Resampled,Multilabel,36,0.9869402985074627,0.7644508670520231,0.8615635179153095
Braille37,Label Resampled,Multilabel,37,0.8452380952380952,0.801354401805869,0.8227114716106605
Braille37,Label Resampled,Multilabel,38,0.9725274725274725,0.9250871080139372,0.9482142857142857
Braille37,Label Resampled,Multilabel,39,0.8924485125858124,0.9443099273607748,0.9176470588235293
Braille37,Label Resampled,Multilabel,40,,0.0,
Braille37,Label Resampled,Multilabel,41,,0.0,
Braille37,Label Resampled,Multilabel,42,,0.0,
Braille37,Label Resampled,Multilabel,43,,0.0,
Braille37,Label Resampled,Multilabel,44,,0.0,
Braille37,Label Resampled,Multilabel,45,0.7640320733104238,0.9794419970631424,0.8584298584298584
Braille37,Label Resampled,Multilabel,46,,0.0,
Braille37,Label Resampled,Multilabel,47,,0.0,
Braille37,Label Resampled,Multilabel,48,,0.0,
Braille37,Label Resampled,Multilabel,49,,0.0,
Braille37,Label Resampled,Multilabel,50,0.996268656716418,0.902027027027027,0.9468085106382977
Braille37,Label Resampled,Multilabel,51,,0.0,
Braille37,Label Resampled,Multilabel,52,,0.0,
Braille37,Label Resampled,Multilabel,53,0.8474770642201835,0.9698162729658792,0.9045287637698899
Braille37,Label Resampled,Multilabel,54,,0.0,
Braille37,Label Resampled,Multilabel,55,,0.0,
Braille37,Label Resampled,Multilabel,56,,0.0,
Braille37,Label Resampled,Multilabel,57,,0.0,
Braille37,Label Resampled,Multilabel,58,0.8148571428571428,0.9944211994421199,0.8957286432160804
Braille37,Label Resampled,Multilabel,59,,0.0,
Braille37,Label Resampled,Multilabel,60,0.8972602739726028,0.8972602739726028,0.8972602739726028
Braille37,Label Resampled,Multilabel,61,0.9170454545454545,0.9938423645320197,0.9539007092198581
Braille37,Label Resampled,Multilabel,62,,0.0,
Braille37,Label Resampled,Multilabel,63,,0.0,
In-distribution,Adaptive Resampled,Multilabel,0,,,
In-distribution,Adaptive Resampled,Multilabel,1,0.9881465517241379,0.9989106753812637,0.9934994582881906
In-distribution,Adaptive Resampled,Multilabel,2,0.9722222222222222,0.9760956175298805,0.974155069582505
